,State,County,Municipality/City,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Study ID,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,State-Level,County-Level,Municipality/City-Level,Recycling Includes Composting,Compost,Exports,Imports,Landfill,MRF,Other,Other- AD,Other- Incinerator,Total Disposal,Total Disposed,Total Recycling,WTE
0,Maryland,,,2020,Unspecified,Waste Facility,2.0,24000,136.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2522303.0,0.0
1,Maryland,,,2020,Unspecified,Landfill,2.0,24000,136.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,2124530.0,0.0,0.0,,,0.0,,0.0,0.0
2,Maryland,,,2020,Unspecified,Waste Facility,2.0,24000,136.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1764385.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
3,Maryland,,,2020,Unspecified,Incinerator,2.0,24000,136.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1239162,0.0,,0.0,0.0
4,Maryland,,,2020,Unspecified,Waste Facility,2.0,24000,136.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,52155.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
5,Maryland,,,2020,Unspecified,Waste Facility,2.0,24000,136.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,340864.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
6,Maryland,,,2019,Unspecified,Waste Facility,2.0,24000,137.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2768144.0,0.0
7,Maryland,,,2019,Unspecified,Landfill,2.0,24000,137.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,2079777.0,0.0,0.0,,,0.0,,0.0,0.0
8,Maryland,,,2019,Unspecified,Waste Facility,2.0,24000,137.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1724355.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
9,Maryland,,,2019,Unspecified,Incinerator,2.0,24000,137.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1315124,0.0,,0.0,0.0
10,Maryland,,,2019,Unspecified,Waste Facility,2.0,24000,137.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,50320.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
11,Maryland,,,2019,Unspecified,Waste Facility,2.0,24000,137.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,300067.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
12,Maryland,,,2018,Unspecified,Waste Facility,2.0,24000,138.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,3117961.0,0.0
13,Maryland,,,2018,Unspecified,Landfill,2.0,24000,138.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1877068.0,0.0,0.0,,,0.0,,0.0,0.0
14,Maryland,,,2018,Unspecified,Waste Facility,2.0,24000,138.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1974974.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
15,Maryland,,,2018,Unspecified,Incinerator,2.0,24000,138.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1320262,0.0,,0.0,0.0
16,Maryland,,,2018,Unspecified,Waste Facility,2.0,24000,138.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,48100.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
17,Maryland,,,2018,Unspecified,Waste Facility,2.0,24000,138.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,207882.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
18,Maryland,,,2017,Unspecified,Waste Facility,2.0,24000,139.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2999051.0,0.0
19,Maryland,,,2017,Unspecified,Landfill,2.0,24000,139.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,1745968.0,0.0,0.0,,,0.0,,0.0,0.0
20,Maryland,,,2017,Unspecified,Waste Facility,2.0,24000,139.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,1830869.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
21,Maryland,,,2017,Unspecified,Incinerator,2.0,24000,139.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,0.0,0.0,0.0,0.0,,1314012,0.0,,0.0,0.0
22,Maryland,,,2017,Unspecified,Waste Facility,2.0,24000,139.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,0.0,0.0,80750.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
23,Maryland,,,2017,Unspecified,Waste Facility,2.0,24000,139.0,0.0,0,0,0,0.0,0,nan,Y,N,N,Y,266453.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
