,State,County,Study ID,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Other Generator Notes,Recycling Includes Composting,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Compost,Exports,Imports,Landfill,MRF,Other,Total Disposal,Total Recycling,WTE
0,Alabama,,7.0,2019,Unspecified,Unspecified,2.0,nan,N,0.0,0,0,0,1603900.0,0,0.0,861190.0,0.0,0.0,0.0,0.0,6284130.0,0.0,0.0
1,Alabama,,7.0,2020,Unspecified,Unspecified,2.0,nan,N,0.0,0,0,0,1574060.0,0,0.0,991770.0,0.0,0.0,0.0,0.0,6512550.0,0.0,0.0
2,Alabama,,8.0,2011,"Residential, Commercial",Unspecified,2.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,1666530.0,0.0,0.0,0.0,5220846.0,0.0,0.0
3,Alabama,,392.0,2010,Unspecified,Unspecified,"2.0, 2.0, 2.0, 2.0, 3.0",nan,N,0.0,0,0,0,0.0,0,0.0,0.0,922471.0,5378913.0,0.0,0.0,0.0,731692.0,360796.0
4,Alabama,,392.0,2013,Unspecified,Unspecified,2.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,282241.0,3513288.0,0.0,0.0,0.0,739055.0,0.0
5,Alabama,,811.0,2021,"Residential, Commercial",Unspecified,2.0,nan,N,0.0,0,0,0,1787576.1300000001,0,0.0,1337179.58,0.0,0.0,0.0,0.0,6815651.73,0.0,0.0
6,Alabama,,812.0,2007,"Residential, Commercial",Unspecified,2.0,nan,N,0.0,0,0,0,2383340.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7081255.0,0.0,0.0
7,Alaska,Anchorage municipality,792.0,2012,Unspecified,Unspecified,1.0,nan,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,662850525.0,0.0,0.0
8,Alaska,Anchorage municipality,792.0,2013,Unspecified,Unspecified,1.0,nan,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,615488200.0,0.0,0.0
9,Alaska,Anchorage municipality,792.0,2014,Unspecified,Unspecified,1.0,nan,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,610947198.0,0.0,0.0
10,Alaska,Anchorage municipality,792.0,2015,Unspecified,Unspecified,1.0,nan,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,600158405.0,0.0,0.0
11,Alaska,Anchorage municipality,792.0,2016,Unspecified,Unspecified,1.0,nan,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,661611880.0,0.0,0.0
12,Alaska,Fairbanks north star borough,611.0,2014,"Residential, Commercial, Institutional, C&D, Residential, Commercial, Institutional",Landfill,2.0,nan,,0.0,0,0,0,49236.0,0,0.0,0.0,0.0,105038.0,0.0,0.0,105038.0,0.0,0.0
13,Alaska,Kodiak island borough,5.0,2004,"Residential, Commercial, Institutional, Industrial, C&D, Residential, Commercial, Institutional, Industrial",Landfill,2.0,nan,Y,0.0,0,0,0,3192.0,0,0.0,0.0,0.0,12827.0,0.0,0.0,11231.0,0.0,0.0
14,Alaska,Kodiak island borough,5.0,2005,"Residential, Commercial, Institutional, Industrial, C&D, Residential, Commercial, Institutional, Industrial",Landfill,2.0,nan,Y,0.0,0,0,0,4378.0,0,0.0,0.0,0.0,13391.0,0.0,0.0,11202.0,0.0,0.0
15,Alaska,Kodiak island borough,5.0,2006,"Residential, Commercial, Institutional, Industrial, C&D, Residential, Commercial, Institutional, Industrial",Landfill,2.0,nan,Y,0.0,0,0,0,8200.0,0,0.0,0.0,0.0,14990.0,0.0,0.0,10890.0,0.0,0.0
16,Alaska,Kodiak island borough,5.0,2007,"Residential, Commercial, Institutional, Industrial, C&D, Residential, Commercial, Institutional, Industrial, Residential, Commercial, Institutional, Industrial, Residential, Commercial, Institutional, Industrial",Landfill,2.0,nan,Y,0.0,0,0,0,3734.0,0,0.0,0.0,0.0,12897.0,686.0,0.0,11030.0,686.0,0.0
17,Alaska,Sitka city and borough,4.0,2004,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,482.0,0.0
18,Alaska,Sitka city and borough,4.0,2007,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,8931.0,0.0,0.0,8931.0,0.0,0.0
19,Alaska,Sitka city and borough,4.0,2009,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,651.0,0.0,0.0,651.0,0.0
20,Alaska,Sitka city and borough,4.0,2010,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,7878.0,0.0,0.0,7878.0,0.0,0.0
21,Alaska,Sitka city and borough,4.0,2011,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,7862.0,0.0,0.0,7862.0,0.0,0.0
22,Alaska,Sitka city and borough,4.0,2012,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,7859.0,0.0,0.0,7859.0,0.0,0.0
23,Alaska,Sitka city and borough,4.0,2013,"Residential, Commercial, Institutional",Unspecified,1.0,nan,N,0.0,0,0,0,0.0,0,0.0,0.0,0.0,8315.0,596.0,0.0,8315.0,596.0,0.0
