,Study ID,State,County,Municipality/City,State-Level,County-Level,Municipality/City-Level,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Waste Pathway Name,Waste Pathway Amount (original value),Waste Pathway Amount (original units),Waste Pathway Amount (tons),Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,Aggregation,Recycling Includes Composting,Notes,Unnamed: 24
0,136.0,Maryland,,,Y,N,N,2020,Unspecified,Waste Facility,2.0,24000,Total Recycling,2522303,tons,2522303,NR,NR,NR,NR,NR,NR,,N,Y,,
1,136.0,Maryland,,,Y,N,N,2020,Unspecified,Landfill,2.0,24000,Landfill,2124530,tons,2124530,NR,NR,NR,NR,NR,NR,,N,Y,,
2,136.0,Maryland,,,Y,N,N,2020,Unspecified,Waste Facility,2.0,24000,Exports,1764385,tons,1764385,NR,NR,NR,NR,NR,NR,,N,Y,,
3,136.0,Maryland,,,Y,N,N,2020,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1239162,tons,1239162,NR,NR,NR,NR,NR,NR,,N,Y,,
4,136.0,Maryland,,,Y,N,N,2020,Unspecified,Waste Facility,2.0,24000,Imports,52155,tons,52155,NR,NR,NR,NR,NR,NR,,N,Y,,
5,136.0,Maryland,,,Y,N,N,2020,Unspecified,Waste Facility,2.0,24000,Compost,340864,tons,340864,NR,NR,NR,NR,NR,NR,,N,Y,,
6,137.0,Maryland,,,Y,N,N,2019,Unspecified,Waste Facility,2.0,24000,Total Recycling,2768144,tons,2768144,NR,NR,NR,NR,NR,NR,,N,Y,,
7,137.0,Maryland,,,Y,N,N,2019,Unspecified,Landfill,2.0,24000,Landfill,2079777,tons,2079777,NR,NR,NR,NR,NR,NR,,N,Y,,
8,137.0,Maryland,,,Y,N,N,2019,Unspecified,Waste Facility,2.0,24000,Exports,1724355,tons,1724355,NR,NR,NR,NR,NR,NR,,N,Y,,
9,137.0,Maryland,,,Y,N,N,2019,Unspecified,Incinerator,2.0,24000,Other- Incinerator,1315124,tons,1315124,NR,NR,NR,NR,NR,NR,,N,Y,,
10,137.0,Maryland,,,Y,N,N,2019,Unspecified,Waste Facility,2.0,24000,Imports,50320,tons,50320,NR,NR,NR,NR,NR,NR,,N,Y,,
11,137.0,Maryland,,,Y,N,N,2019,Unspecified,Waste Facility,2.0,24000,Compost,300067,tons,300067,NR,NR,NR,NR,NR,NR,,N,Y,,
